rup_mag,rup_dip,rup_rake,rup_ztor,rup_width,dist_rrup,dist_rjb,dist_rx,dist_ry0,site_vs30,site_z1pt0,result_type,damping,PGA,SA(0.1),SA(0.2),SA(0.5),SA(1.0),SA(2.0),SA(3.0),SA(5.0),SA(10.0)
6.500000,45.000000,90.000000,10.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,MEAN,5,-4.943316,-4.453016,-4.210116,-4.276316,-4.849516,-5.988561,-6.610761,-7.078241,-7.851121
6.500000,45.000000,90.000000,10.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,TOTAL_STDDEV,5,0.675270,0.771560,0.736685,0.685810,0.660210,0.630584,0.609641,0.593638,0.586482
6.500000,45.000000,90.000000,10.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,INTER_EVENT_STDDEV,5,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800
6.500000,45.000000,90.000000,10.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,INTRA_EVENT_STDDEV,5,0.577000,0.687200,0.647800,0.589300,0.559300,0.524000,0.498600,0.478900,0.470000
7.500000,45.000000,90.000000,0.000000,15.000000,10.000000,10.000000,-10.000000,0.000000,760.000000,-999.000000,MEAN,5,-1.872647,-1.090967,-1.030467,-1.224958,-1.604584,-2.080411,-2.403228,-3.003181,-4.307252
7.500000,45.000000,90.000000,0.000000,15.000000,10.000000,10.000000,-10.000000,0.000000,760.000000,-999.000000,TOTAL_STDDEV,5,0.675270,0.771560,0.736685,0.685810,0.660210,0.630584,0.609641,0.593638,0.586482
7.500000,45.000000,90.000000,0.000000,15.000000,10.000000,10.000000,-10.000000,0.000000,760.000000,-999.000000,INTER_EVENT_STDDEV,5,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800
7.500000,45.000000,90.000000,0.000000,15.000000,10.000000,10.000000,-10.000000,0.000000,760.000000,-999.000000,INTRA_EVENT_STDDEV,5,0.577000,0.687200,0.647800,0.589300,0.559300,0.524000,0.498600,0.478900,0.470000
7.500000,45.000000,90.000000,10.000000,15.000000,10.000000,10.000000,-10.000000,0.000000,760.000000,-999.000000,MEAN,5,-0.862109,-0.040829,0.006271,-0.282229,-0.952319,-2.198806,-2.871972,-3.575681,-4.487952
7.500000,45.000000,90.000000,10.000000,15.000000,10.000000,10.000000,-10.000000,0.000000,760.000000,-999.000000,TOTAL_STDDEV,5,0.675270,0.771560,0.736685,0.685810,0.660210,0.630584,0.609641,0.593638,0.586482
7.500000,45.000000,90.000000,10.000000,15.000000,10.000000,10.000000,-10.000000,0.000000,760.000000,-999.000000,INTER_EVENT_STDDEV,5,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800
7.500000,45.000000,90.000000,10.000000,15.000000,10.000000,10.000000,-10.000000,0.000000,760.000000,-999.000000,INTRA_EVENT_STDDEV,5,0.577000,0.687200,0.647800,0.589300,0.559300,0.524000,0.498600,0.478900,0.470000
7.500000,45.000000,90.000000,0.000000,15.000000,50.000000,50.000000,-50.000000,0.000000,760.000000,-999.000000,MEAN,5,-2.723952,-2.011952,-1.906252,-2.041852,-2.392102,-2.887721,-3.258065,-3.861149,-5.032260
7.500000,45.000000,90.000000,0.000000,15.000000,50.000000,50.000000,-50.000000,0.000000,760.000000,-999.000000,TOTAL_STDDEV,5,0.675270,0.771560,0.736685,0.685810,0.660210,0.630584,0.609641,0.593638,0.586482
7.500000,45.000000,90.000000,0.000000,15.000000,50.000000,50.000000,-50.000000,0.000000,760.000000,-999.000000,INTER_EVENT_STDDEV,5,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800
7.500000,45.000000,90.000000,0.000000,15.000000,50.000000,50.000000,-50.000000,0.000000,760.000000,-999.000000,INTRA_EVENT_STDDEV,5,0.577000,0.687200,0.647800,0.589300,0.559300,0.524000,0.498600,0.478900,0.470000
7.500000,45.000000,90.000000,10.000000,15.000000,50.000000,50.000000,-50.000000,0.000000,760.000000,-999.000000,MEAN,5,-2.072052,-1.320452,-1.228152,-1.433852,-2.038702,-3.215321,-3.846355,-4.433649,-5.212960
7.500000,45.000000,90.000000,10.000000,15.000000,50.000000,50.000000,-50.000000,0.000000,760.000000,-999.000000,TOTAL_STDDEV,5,0.675270,0.771560,0.736685,0.685810,0.660210,0.630584,0.609641,0.593638,0.586482
7.500000,45.000000,90.000000,10.000000,15.000000,50.000000,50.000000,-50.000000,0.000000,760.000000,-999.000000,INTER_EVENT_STDDEV,5,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800
7.500000,45.000000,90.000000,10.000000,15.000000,50.000000,50.000000,-50.000000,0.000000,760.000000,-999.000000,INTRA_EVENT_STDDEV,5,0.577000,0.687200,0.647800,0.589300,0.559300,0.524000,0.498600,0.478900,0.470000
7.500000,45.000000,90.000000,0.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,MEAN,5,-4.677831,-4.227131,-3.951931,-3.777031,-3.882631,-4.130075,-4.383486,-4.766555,-5.816835
7.500000,45.000000,90.000000,0.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,TOTAL_STDDEV,5,0.675270,0.771560,0.736685,0.685810,0.660210,0.630584,0.609641,0.593638,0.586482
7.500000,45.000000,90.000000,0.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,INTER_EVENT_STDDEV,5,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800
7.500000,45.000000,90.000000,0.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,INTRA_EVENT_STDDEV,5,0.577000,0.687200,0.647800,0.589300,0.559300,0.524000,0.498600,0.478900,0.470000
7.500000,45.000000,90.000000,10.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,MEAN,5,-4.025931,-3.535631,-3.273831,-3.169031,-3.529231,-4.457675,-4.971776,-5.339055,-5.997535
7.500000,45.000000,90.000000,10.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,TOTAL_STDDEV,5,0.675270,0.771560,0.736685,0.685810,0.660210,0.630584,0.609641,0.593638,0.586482
7.500000,45.000000,90.000000,10.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,INTER_EVENT_STDDEV,5,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800,0.350800
7.500000,45.000000,90.000000,10.000000,15.000000,200.000000,200.000000,-200.000000,0.000000,760.000000,-999.000000,INTRA_EVENT_STDDEV,5,0.577000,0.687200,0.647800,0.589300,0.559300,0.524000,0.498600,0.478900,0.470000
